GEO.id,GEO.id2,GEO.display-label,POPGROUP.id,POPGROUP.display-label,HD01_VD01,HD02_VD01
0500000US01001,1001,"Autauga County, Alabama",1,Total population,53155,*****
0500000US01001,1001,"Autauga County, Alabama",2,White alone,42031,185
0500000US01001,1001,"Autauga County, Alabama",4,Black or African American alone,9508,116
0500000US01003,1003,"Baldwin County, Alabama",1,Total population,175791,*****
0500000US01003,1003,"Baldwin County, Alabama",2,White alone,151453,831
0500000US01003,1003,"Baldwin County, Alabama",4,Black or African American alone,16613,416
0500000US01005,1005,"Barbour County, Alabama",1,Total population,27699,*****
0500000US01005,1005,"Barbour County, Alabama",2,White alone,13759,205
0500000US01005,1005,"Barbour County, Alabama",4,Black or African American alone,12911,142
0500000US01007,1007,"Bibb County, Alabama",1,Total population,22610,*****
0500000US01007,1007,"Bibb County, Alabama",2,White alone,19038,670
0500000US01007,1007,"Bibb County, Alabama",4,Black or African American alone,3450,666
0500000US01009,1009,"Blount County, Alabama",1,Total population,56692,*****
0500000US01009,1009,"Blount County, Alabama",2,White alone,53938,376
0500000US01011,1011,"Bullock County, Alabama",1,Total population,10923,*****
0500000US01011,1011,"Bullock County, Alabama",2,White alone,2589,181
0500000US01011,1011,"Bullock County, Alabama",4,Black or African American alone,8110,246
0500000US01013,1013,"Butler County, Alabama",1,Total population,20895,*****
0500000US01013,1013,"Butler County, Alabama",2,White alone,11493,74
0500000US01013,1013,"Butler County, Alabama",4,Black or African American alone,8969,224
0500000US01015,1015,"Calhoun County, Alabama",1,Total population,117149,*****
0500000US01015,1015,"Calhoun County, Alabama",2,White alone,88451,380
0500000US01015,1015,"Calhoun County, Alabama",4,Black or African American alone,23928,300
0500000US01017,1017,"Chambers County, Alabama",1,Total population,34579,*****
0500000US01017,1017,"Chambers County, Alabama",2,White alone,20425,161
0500000US01017,1017,"Chambers County, Alabama",4,Black or African American alone,13527,79
0500000US01019,1019,"Cherokee County, Alabama",1,Total population,25700,*****
0500000US01019,1019,"Cherokee County, Alabama",2,White alone,23842,76
0500000US01019,1019,"Cherokee County, Alabama",4,Black or African American alone,1202,136
0500000US01021,1021,"Chilton County, Alabama",1,Total population,43121,*****
0500000US01021,1021,"Chilton County, Alabama",2,White alone,37736,261
0500000US01021,1021,"Chilton County, Alabama",4,Black or African American alone,4052,246
0500000US01023,1023,"Choctaw County, Alabama",1,Total population,14111,*****
0500000US01023,1023,"Choctaw County, Alabama",2,White alone,7823,20
0500000US01023,1023,"Choctaw County, Alabama",4,Black or African American alone,6064,161
0500000US01025,1025,"Clarke County, Alabama",1,Total population,26255,*****
0500000US01025,1025,"Clarke County, Alabama",2,White alone,14451,222
0500000US01025,1025,"Clarke County, Alabama",4,Black or African American alone,10990,586
0500000US01027,1027,"Clay County, Alabama",1,Total population,14040,*****
0500000US01027,1027,"Clay County, Alabama",2,White alone,11562,58
0500000US01027,1027,"Clay County, Alabama",4,Black or African American alone,2160,55
0500000US01029,1029,"Cleburne County, Alabama",1,Total population,14823,*****
0500000US01029,1029,"Cleburne County, Alabama",2,White alone,13983,199
0500000US01031,1031,"Coffee County, Alabama",1,Total population,48349,*****
0500000US01031,1031,"Coffee County, Alabama",2,White alone,37460,223
0500000US01031,1031,"Coffee County, Alabama",4,Black or African American alone,8377,147
0500000US01033,1033,"Colbert County, Alabama",1,Total population,54446,*****
0500000US01033,1033,"Colbert County, Alabama",2,White alone,44325,193
0500000US01033,1033,"Colbert County, Alabama",4,Black or African American alone,8745,190
0500000US01035,1035,"Conecuh County, Alabama",1,Total population,13382,*****
0500000US01035,1035,"Conecuh County, Alabama",2,White alone,6972,56
0500000US01035,1035,"Conecuh County, Alabama",4,Black or African American alone,6189,222
0500000US01037,1037,"Coosa County, Alabama",1,Total population,11470,*****
0500000US01037,1037,"Coosa County, Alabama",2,White alone,7517,119
0500000US01037,1037,"Coosa County, Alabama",4,Black or African American alone,3874,56
0500000US01039,1039,"Covington County, Alabama",1,Total population,37608,*****
0500000US01039,1039,"Covington County, Alabama",2,White alone,31901,168
0500000US01039,1039,"Covington County, Alabama",4,Black or African American alone,4837,184
0500000US01041,1041,"Crenshaw County, Alabama",1,Total population,13928,*****
0500000US01041,1041,"Crenshaw County, Alabama",2,White alone,10196,10
0500000US01041,1041,"Crenshaw County, Alabama",4,Black or African American alone,2901,232
0500000US01043,1043,"Cullman County, Alabama",1,Total population,79941,*****
0500000US01043,1043,"Cullman County, Alabama",2,White alone,76819,325
0500000US01043,1043,"Cullman County, Alabama",4,Black or African American alone,729,161
0500000US01045,1045,"Dale County, Alabama",1,Total population,49730,*****
0500000US01045,1045,"Dale County, Alabama",2,White alone,37298,284
0500000US01045,1045,"Dale County, Alabama",4,Black or African American alone,9888,309
0500000US01047,1047,"Dallas County, Alabama",1,Total population,44066,*****
0500000US01047,1047,"Dallas County, Alabama",2,White alone,13226,66
0500000US01047,1047,"Dallas County, Alabama",4,Black or African American alone,30322,114
0500000US01049,1049,"DeKalb County, Alabama",1,Total population,70038,*****
0500000US01049,1049,"DeKalb County, Alabama",2,White alone,64779,933
0500000US01049,1049,"DeKalb County, Alabama",4,Black or African American alone,1120,188
0500000US01051,1051,"Elmore County, Alabama",1,Total population,77650,*****
0500000US01051,1051,"Elmore County, Alabama",2,White alone,59044,219
0500000US01051,1051,"Elmore County, Alabama",4,Black or African American alone,15611,191
0500000US01053,1053,"Escambia County, Alabama",1,Total population,37996,*****
0500000US01053,1053,"Escambia County, Alabama",2,White alone,24065,148
0500000US01053,1053,"Escambia County, Alabama",4,Black or African American alone,11936,116
0500000US01055,1055,"Etowah County, Alabama",1,Total population,104066,*****
0500000US01055,1055,"Etowah County, Alabama",2,White alone,85437,312
0500000US01055,1055,"Etowah County, Alabama",4,Black or African American alone,15658,381
0500000US01057,1057,"Fayette County, Alabama",1,Total population,17472,*****
0500000US01057,1057,"Fayette County, Alabama",2,White alone,15128,53
0500000US01057,1057,"Fayette County, Alabama",4,Black or African American alone,1954,94
0500000US01059,1059,"Franklin County, Alabama",1,Total population,31383,*****
0500000US01059,1059,"Franklin County, Alabama",2,White alone,27392,500
0500000US01059,1059,"Franklin County, Alabama",4,Black or African American alone,1329,144
0500000US01061,1061,"Geneva County, Alabama",1,Total population,26541,*****
0500000US01061,1061,"Geneva County, Alabama",2,White alone,23154,159
0500000US01061,1061,"Geneva County, Alabama",4,Black or African American alone,2711,71
